,string,start_ms,end_ms,latency_ms,type
119,other,1504.2949,1508.0428,3.7479,API Rest
120,senses,1508.1169,1511.781,3.6641,API Rest
121,Or,1511.8174,1515.7844,3.967,API Rest
122,else,1515.904,1520.9621,5.0581,API Rest
123,worth,1521.0274,1524.6274,3.6,API Rest
124,all,1524.6843,1528.2189,3.5346,API Rest
125,the,1528.2567,1532.3985,4.1418,API Rest
126,rest.,1532.4396,1536.832,4.3924,API Rest
127,I,1536.8802,1540.8474,3.9672,API Rest
128,see,1540.8917,1544.3539,3.4622,API Rest
129,thee,1544.3981,1549.598,5.1999,API Rest
130,"still,",1549.6538,1553.3185,3.6647,API Rest
131,"And,",1553.3582,1556.8433,3.4851,API Rest
132,on,1556.877,1560.7804,3.9034,API Rest
133,thy,1560.825,1566.6491,5.8241,API Rest
134,blade,1566.7167,1571.0178,4.3011,API Rest
135,and,1571.0557,1575.2568,4.2011,API Rest
136,"dudgeon,",1575.3042,1580.8153,5.5111,API Rest
137,gouts,1580.9353,1585.3048,4.3695,API Rest
138,of,1585.3567,1589.2558,3.8991,API Rest
139,"blood,",1589.3054,1593.7498,4.4444,API Rest
140,Which,1593.7859,1597.9,4.1141,API Rest
141,was,1597.938,1603.1004,5.1624,API Rest
142,not,1603.1373,1607.0247,3.8874,API Rest
143,so,1607.0777,1610.9481,3.8704,API Rest
144,before.,1611.0764,1615.2544,4.178,API Rest
145,There’s,1615.2905,1619.5141,4.2236,API Rest
146,no,1619.5523,1623.7773,4.225,API Rest
147,such,1623.8125,1628.5646,4.7521,API Rest
148,thing.,1628.6529,1633.2545,4.6016,API Rest
149,It,1633.2985,1637.1849,3.8864,API Rest
150,is,1637.221,1640.9789,3.7579,API Rest
151,the,1641.0334,1646.1567,5.1233,API Rest
152,bloody,1646.1934,1650.422,4.2286,API Rest
153,business,1650.4607,1653.9567,3.496,API Rest
154,which,1653.9923,1658.6552,4.6629,API Rest
155,informs,1658.7094,1662.9232,4.2138,API Rest
156,Thus,1662.9837,1666.8013,3.8176,API Rest
157,to,1666.8378,1670.6381,3.8003,API Rest
158,mine,1670.674,1674.7112,4.0372,API Rest
159,eyes.,1674.7486,1678.7872,4.0386,API Rest
160,Now,1678.8315,1682.1658,3.3343,API Rest
161,o’er,1682.2,1685.8704,3.6704,API Rest
162,the,1685.9068,1689.9865,4.0797,API Rest
163,one-half,1690.032,1694.893,4.861,API Rest
164,world,1694.9349,1698.7139,3.779,API Rest
165,Nature,1698.7512,1702.6861,3.9349,API Rest
166,seems,1702.7406,1708.0712,5.3306,API Rest
167,"dead,",1708.108,1711.7412,3.6332,API Rest
168,and,1711.7765,1715.7668,3.9903,API Rest
169,wicked,1715.8046,1721.039,5.2344,API Rest
170,dreams,1721.0772,1725.1052,4.028,API Rest
171,abuse,1725.1433,1729.0274,3.8841,API Rest
172,The,1729.0627,1732.7534,3.6907,API Rest
173,curtained,1732.8139,1737.629,4.8151,API Rest
174,sleep.,1737.6769,1741.3181,3.6412,API Rest
175,Witchcraft,1741.3526,1744.7802,3.4276,API Rest
176,celebrates,1744.846,1749.446,4.6,API Rest
177,Pale,1749.5214,1753.6781,4.1567,API Rest
178,Hecate’s,1753.7347,1757.4374,3.7027,API Rest
179,"off’rings,",1757.4736,1761.1462,3.6726,API Rest
180,and,1761.1826,1765.5468,4.3642,API Rest
181,withered,1765.5866,1770.7417,5.1551,API Rest
182,"murder,",1770.7849,1774.2111,3.4262,API Rest
183,Alarumed,1774.253,1777.6111,3.3581,API Rest
184,by,1777.6469,1781.585,3.9381,API Rest
185,his,1781.6226,1785.3626,3.74,API Rest
186,"sentinel,",1785.4008,1789.0804,3.6796,API Rest
187,the,1789.1181,1793.8005,4.6824,API Rest
188,"wolf,",1793.8415,1797.5408,3.6993,API Rest
189,Whose,1797.5972,1801.6082,4.011,API Rest
190,howl’s,1801.6505,1805.2389,3.5884,API Rest
191,his,1805.2757,1808.8965,3.6208,API Rest
192,"watch,",1808.9367,1812.5088,3.5721,API Rest
193,thus,1812.5452,1816.2585,3.7133,API Rest
194,with,1816.31,1819.6763,3.3663,API Rest
195,his,1819.7121,1822.9835,3.2714,API Rest
196,stealthy,1823.0171,1827.1069,4.0898,API Rest
197,"pace,",1827.144,1831.2943,4.1503,API Rest
198,With,1831.3318,1834.6977,3.3659,API Rest
199,Tarquin’s,1834.734,1838.3358,3.6018,API Rest
200,ravishing,1838.3733,1842.3431,3.9698,API Rest
201,"strides,",1842.4054,1846.6909,4.2855,API Rest
202,towards,1846.7305,1850.3839,3.6534,API Rest
203,his,1850.4341,1853.7987,3.3646,API Rest
204,design,1853.8366,1857.9448,4.1082,API Rest
205,Moves,1857.9947,1861.8128,3.8181,API Rest
206,like,1861.8589,1865.2491,3.3902,API Rest
207,a,1865.2952,1868.7607,3.4655,API Rest
208,ghost.,1868.8079,1872.4838,3.6759,API Rest
209,Thou,1872.5178,1876.5223,4.0045,API Rest
210,sure,1876.5596,1879.9995,3.4399,API Rest
211,and,1880.0423,1883.4116,3.3693,API Rest
212,firm-set,1883.4533,1887.094,3.6407,API Rest
213,"earth,",1887.1464,1891.7513,4.6049,API Rest
214,Hear,1891.7891,1895.5309,3.7418,API Rest
215,not,1895.5668,1899.1391,3.5723,API Rest
216,my,1899.2065,1902.7863,3.5798,API Rest
217,"steps,",1902.8418,1907.1993,4.3575,API Rest
218,which,1907.2382,1911.0279,3.7897,API Rest
219,way,1911.0632,1914.9257,3.8625,API Rest
220,they,1914.9614,1918.4403,3.4789,API Rest
221,"walk,",1918.4757,1922.5831,4.1074,API Rest
222,for,1922.622,1926.2668,3.6448,API Rest
223,fear,1926.3489,1929.9295,3.5806,API Rest
224,Thy,1929.9642,1933.8823,3.9181,API Rest
225,very,1933.9355,1939.1652,5.2297,API Rest
226,stones,1939.2038,1942.8906,3.6868,API Rest
227,prate,1942.9329,1946.4955,3.5626,API Rest
228,of,1946.5315,1950.2017,3.6702,API Rest
229,my,1950.2569,1955.2441,4.9872,API Rest
230,whereabouts,1955.3218,1959.2785,3.9567,API Rest
231,And,1959.314,1962.8157,3.5017,API Rest
232,take,1962.8496,1966.722,3.8724,API Rest
233,the,1966.7575,1970.87,4.1125,API Rest
234,present,1970.9377,1974.6044,3.6667,API Rest
235,horror,1974.6498,1978.5182,3.8684,API Rest
236,from,1978.5748,1982.563,3.9882,API Rest
237,the,1982.6009,1987.0062,4.4053,API Rest
238,"time,",1987.0424,1990.5497,3.5073,API Rest
239,Which,1990.5864,1993.9554,3.369,API Rest
240,now,1994.0067,2000.3441,6.3374,API Rest
241,suits,2000.4093,2005.3978,4.9885,API Rest
